id,priority_label,title,description,text,category
HM-070,MEDIUM,Heizung arbeitet instabil,Die Heizleistung ist unzuverlässig.,"Heizung arbeitet instabil
Die Heizleistung ist unzuverlässig.",Heizung / Wärmeversorgung
TF-H-078,HIGH,Fenster lässt sich nicht sichern,Das Fenster kann nicht gesichert werden.,"Fenster lässt sich nicht sichern
Das Fenster kann nicht gesichert werden.",Türen/Fenster
LAERM-L-026,LOW,Leichtes Klappern,Sehr leichtes Klappern hörbar,"Leichtes Klappern
Sehr leichtes Klappern hörbar",Lärm
A-M-013,MEDIUM,Aufzug bleibt kurz im Keller stehen,Der Aufzug bleibt kurz im Keller stehen.,"Aufzug bleibt kurz im Keller stehen
Der Aufzug bleibt kurz im Keller stehen.",Aufzug
LAERM-M-048,MEDIUM,Störende Lüftergeräusche,Lüftergeräusche stören tagsüber,"Störende Lüftergeräusche
Lüftergeräusche stören tagsüber",Lärm
REIN-M-020,MEDIUM,Unordnung im Technikraum,Bereich wirkt ungepflegt; optisch störend.,"Unordnung im Technikraum
Bereich wirkt ungepflegt; optisch störend.",Reinigung
BSCH-M-040,MEDIUM,Fluchtwegbeleuchtung gedimmt,Die Beleuchtung des Fluchtwegs ist deutlich gedimmt.,"Fluchtwegbeleuchtung gedimmt
Die Beleuchtung des Fluchtwegs ist deutlich gedimmt.",Brandschutz
BSCH-L-039,LOW,Feuerlöscher optisch abgenutzt – Bereich 19,"Der Feuerlöscher zeigt Gebrauchsspuren, Funktion unklar. (Betroffen: Gemeinschaftsfläche).","Feuerlöscher optisch abgenutzt – Bereich 19
Der Feuerlöscher zeigt Gebrauchsspuren, Funktion unklar. (Betroffen: Gemeinschaftsfläche).",Brandschutz
AUSSEN-H-007,HIGH,Großes Schlagloch auf Zufahrt,Schlagloch verursacht Unfallgefahr,"Großes Schlagloch auf Zufahrt
Schlagloch verursacht Unfallgefahr",Außenbereich
BSCH-M-052,MEDIUM,Fluchtwegmarkierung unklar – Bereich 12,Die Markierung des Fluchtwegs ist schlecht erkennbar. (Betroffen: Tiefgarage).,"Fluchtwegmarkierung unklar – Bereich 12
Die Markierung des Fluchtwegs ist schlecht erkennbar. (Betroffen: Tiefgarage).",Brandschutz
SM-L-013,LOW,Minimaler Schimmel am Küche-Rand,"Leichte Verfärbung durch Schimmel im Küche, punktuell.","Minimaler Schimmel am Küche-Rand
Leichte Verfärbung durch Schimmel im Küche, punktuell.",Schimmel
TF-H-029,HIGH,Tür schließt nicht mehr bündig,Die Tür schließt nicht mehr bündig.,"Tür schließt nicht mehr bündig
Die Tür schließt nicht mehr bündig.",Türen/Fenster
AUSSEN-L-035,LOW,Verblasste Parkplatznummern,Parkplatznummern sind verblasst.,"Verblasste Parkplatznummern
Parkplatznummern sind verblasst.",Außenbereich
SM-M-051,MEDIUM,Schimmel an Sockelleiste im Kinderzimmer,Schimmelbildung an einer kühlen Stelle im Kinderzimmer.,"Schimmel an Sockelleiste im Kinderzimmer
Schimmelbildung an einer kühlen Stelle im Kinderzimmer.",Schimmel
REIN-M-037,MEDIUM,Unordnung im Technikbereich,Bereich wirkt ungepflegt; Staub auf Oberflächen.,"Unordnung im Technikbereich
Bereich wirkt ungepflegt; Staub auf Oberflächen.",Reinigung
SW-H-040,HIGH,WC läuft über,Die Toilette läuft über und verursacht Schaden.,"WC läuft über
Die Toilette läuft über und verursacht Schaden.",Sanitär / Wasser
TF-H-052,HIGH,Tür lässt sich von außen nicht öffnen,Die Tür kann von außen nicht geöffnet werden.,"Tür lässt sich von außen nicht öffnen
Die Tür kann von außen nicht geöffnet werden.",Türen/Fenster
SM-H-005,HIGH,Schimmelgeruch und Befall im Bad,"Massiver Schimmel sichtbar, Ausbreitung im Bad deutlich erkennbar.","Schimmelgeruch und Befall im Bad
Massiver Schimmel sichtbar, Ausbreitung im Bad deutlich erkennbar.",Schimmel
H-023,HIGH,Warmwasser komplett ausgefallen,Es steht im gesamten Haushalt kein Warmwasser zur Verfügung.,"Warmwasser komplett ausgefallen
Es steht im gesamten Haushalt kein Warmwasser zur Verfügung.",Heizung / Wärmeversorgung
AUSSEN-M-035,MEDIUM,Unebene Zufahrt,Kleine Unebenheiten vorhanden,"Unebene Zufahrt
Kleine Unebenheiten vorhanden",Außenbereich
REIN-L-048,LOW,Leichte Schlieren in Außenbereich,Schlieren kaum sichtbar; geringer Aufwand.,"Leichte Schlieren in Außenbereich
Schlieren kaum sichtbar; geringer Aufwand.",Reinigung
BS-M-063,MEDIUM,Feuchte Stelle an Decke Flur,"An der Flurdecke ist eine feuchte Stelle sichtbar, vermutlich Kondensat.","Feuchte Stelle an Decke Flur
An der Flurdecke ist eine feuchte Stelle sichtbar, vermutlich Kondensat.",Bauliche Schäden
A-M-006,MEDIUM,Aufzug reagiert verzögert,Der Aufzug reagiert verzögert auf Tasteneingaben.,"Aufzug reagiert verzögert
Der Aufzug reagiert verzögert auf Tasteneingaben.",Aufzug
SM-H-013,HIGH,Schimmelgeruch und Befall im Waschküche,Starker Schimmel durch anhaltende Feuchtigkeit im Waschküche.,"Schimmelgeruch und Befall im Waschküche
Starker Schimmel durch anhaltende Feuchtigkeit im Waschküche.",Schimmel
H-073,HIGH,Heizungsstörung mit Kälte,Die Wohnung wird nicht mehr beheizt.,"Heizungsstörung mit Kälte
Die Wohnung wird nicht mehr beheizt.",Heizung / Wärmeversorgung
LAERM-H-054,HIGH,Sehr lauter Betrieb in Nachbarwohnung,Nachbarwohnung verursacht sehr lauten Betrieb,"Sehr lauter Betrieb in Nachbarwohnung
Nachbarwohnung verursacht sehr lauten Betrieb",Lärm
SON-M-028,MEDIUM,Sicherheitssoftware Update ausstehend,System läuft stabil,"Sicherheitssoftware Update ausstehend
System läuft stabil",Sonstige
BS-M-045,MEDIUM,Haarrisse Decke Küche,In der Küchendecke sind Haarrisse sichtbar,"Haarrisse Decke Küche
In der Küchendecke sind Haarrisse sichtbar",Bauliche Schäden
E-L-015,LOW,Steckdose optisch beschädigt,Eine Steckdose hat kleine optische Schäden.,"Steckdose optisch beschädigt
Eine Steckdose hat kleine optische Schäden.",Elektro
BSCH-H-060,HIGH,Brandmeldeanlage Totalausfall – Bereich 10,"Die zentrale Brandmeldeanlage meldet Totalausfall, keine Alarmierung möglich. (Betroffen: Treppenhaus).","Brandmeldeanlage Totalausfall – Bereich 10
Die zentrale Brandmeldeanlage meldet Totalausfall, keine Alarmierung möglich. (Betroffen: Treppenhaus).",Brandschutz
BS-H-031,HIGH,Rissbildung an Stützmauer,Die Stützmauer im Hof weist massive Risse auf,"Rissbildung an Stützmauer
Die Stützmauer im Hof weist massive Risse auf",Bauliche Schäden
SM-M-065,MEDIUM,Schimmelbildung im Abstellraum,Schimmel an Fensterbereich im Abstellraum festgestellt.,"Schimmelbildung im Abstellraum
Schimmel an Fensterbereich im Abstellraum festgestellt.",Schimmel
A-M-062,MEDIUM,Aufzug hält ruckartig an Etagen,Beim Erreichen der Etage hält der Aufzug spürbar ruckartig an.,"Aufzug hält ruckartig an Etagen
Beim Erreichen der Etage hält der Aufzug spürbar ruckartig an.",Aufzug
LAERM-L-006,LOW,Gelegentliches Klopfen,Seltenes Klopfen ohne Störung,"Gelegentliches Klopfen
Seltenes Klopfen ohne Störung",Lärm
TF-M-060,MEDIUM,Fenster schließt verzögert,Das Fenster schließt verzögert.,"Fenster schließt verzögert
Das Fenster schließt verzögert.",Türen/Fenster
SW-M-029,MEDIUM,Abflussgeräusche im Bad,Gluckernde Geräusche hörbar.,"Abflussgeräusche im Bad
Gluckernde Geräusche hörbar.",Sanitär / Wasser
AUSSEN-M-060,MEDIUM,Leicht beschädigter Bordstein,Kleine Absplitterung,"Leicht beschädigter Bordstein
Kleine Absplitterung",Außenbereich
AUSSEN-L-011,LOW,Kleine Farbabsplitterung am Geländer,Farbe platzt leicht ab,"Kleine Farbabsplitterung am Geländer
Farbe platzt leicht ab",Außenbereich
A-H-034,HIGH,Aufzug bleibt nach Wartung stehen,Der Aufzug funktioniert nach Wartung nicht.,"Aufzug bleibt nach Wartung stehen
Der Aufzug funktioniert nach Wartung nicht.",Aufzug
HM-008,MEDIUM,Einzelner Heizkörper kalt,Ein Heizkörper bleibt kalt während andere funktionieren.,"Einzelner Heizkörper kalt
Ein Heizkörper bleibt kalt während andere funktionieren.",Heizung / Wärmeversorgung
E-M-079,MEDIUM,Steckdose im Bad instabil,Die Steckdose im Bad funktioniert unzuverlässig.,"Steckdose im Bad instabil
Die Steckdose im Bad funktioniert unzuverlässig.",Elektro
TF-L-036,LOW,Fensterdichtung optisch beschädigt,Die Fensterdichtung ist optisch beschädigt.,"Fensterdichtung optisch beschädigt
Die Fensterdichtung ist optisch beschädigt.",Türen/Fenster
E-H-002,HIGH,Stromausfall in mehreren Wohnungen,In mehreren Wohnungen ist der Strom vollständig ausgefallen.,"Stromausfall in mehreren Wohnungen
In mehreren Wohnungen ist der Strom vollständig ausgefallen.",Elektro
TF-L-038,LOW,Fensterrahmen matte Stellen,Der Fensterrahmen hat matte Stellen.,"Fensterrahmen matte Stellen
Der Fensterrahmen hat matte Stellen.",Türen/Fenster
SM-M-037,MEDIUM,Schimmel an Sockelleiste im Hausflur,Schimmel an Fensterbereich im Hausflur festgestellt.,"Schimmel an Sockelleiste im Hausflur
Schimmel an Fensterbereich im Hausflur festgestellt.",Schimmel
BSCH-M-055,MEDIUM,Batteriestand Rauchmelder schwach – Bereich 15,"Der Rauchmelder zeigt eine schwache Batterie, Austausch zeitnah erforderlich. (Betroffen: Treppenhaus).","Batteriestand Rauchmelder schwach – Bereich 15
Der Rauchmelder zeigt eine schwache Batterie, Austausch zeitnah erforderlich. (Betroffen: Treppenhaus).",Brandschutz
LAERM-H-041,HIGH,Lautes Knacken in Heizungsrohren,Heizungsrohre verursachen lautes Knacken,"Lautes Knacken in Heizungsrohren
Heizungsrohre verursachen lautes Knacken",Lärm
TF-L-017,LOW,Kratzer an Balkontür,An der Balkontür sind Kratzer sichtbar.,"Kratzer an Balkontür
An der Balkontür sind Kratzer sichtbar.",Türen/Fenster
A-H-004,HIGH,Aufzug reagiert nicht auf Steuerung,Der Aufzug reagiert auf keine Bedienung.,"Aufzug reagiert nicht auf Steuerung
Der Aufzug reagiert auf keine Bedienung.",Aufzug
SW-H-058,HIGH,Rohrbruch unter Estrich,Vermuteter Rohrbruch unter dem Boden.,"Rohrbruch unter Estrich
Vermuteter Rohrbruch unter dem Boden.",Sanitär / Wasser
TF-H-024,HIGH,Terrassentür schließt nicht,Die Terrassentür lässt sich nicht schließen.,"Terrassentür schließt nicht
Die Terrassentür lässt sich nicht schließen.",Türen/Fenster
SW-H-063,HIGH,Defekter Hausanschluss Wasser,Wasser tritt am Hausanschluss aus.,"Defekter Hausanschluss Wasser
Wasser tritt am Hausanschluss aus.",Sanitär / Wasser
HM-078,MEDIUM,Warmwasserleistung reduziert,Die verfügbare Warmwassermenge ist gering.,"Warmwasserleistung reduziert
Die verfügbare Warmwassermenge ist gering.",Heizung / Wärmeversorgung
SM-M-004,MEDIUM,Schimmel an Fensterlaibung im Wohnzimmer,"Schimmel an Sockelleiste im Wohnzimmer, noch nicht großflächig.","Schimmel an Fensterlaibung im Wohnzimmer
Schimmel an Sockelleiste im Wohnzimmer, noch nicht großflächig.",Schimmel
SM-M-042,MEDIUM,Schimmel an Sockelleiste im Bad,"Leichter Schimmel sichtbar, vermutlich durch Kondenswasser im Bad.","Schimmel an Sockelleiste im Bad
Leichter Schimmel sichtbar, vermutlich durch Kondenswasser im Bad.",Schimmel
LAERM-M-066,MEDIUM,Rattern in Rohrleitung bei Wasserentnahme,Bei Wasserentnahme rattern Rohre hörbar.,"Rattern in Rohrleitung bei Wasserentnahme
Bei Wasserentnahme rattern Rohre hörbar.",Lärm
SON-M-037,MEDIUM,Automatische Beleuchtungssteuerung ungenau,Licht schaltet verspätet,"Automatische Beleuchtungssteuerung ungenau
Licht schaltet verspätet",Sonstige
E-H-013,HIGH,Verteilerkasten überhitzt,Der elektrische Verteilerkasten ist extrem heiß.,"Verteilerkasten überhitzt
Der elektrische Verteilerkasten ist extrem heiß.",Elektro
LAERM-M-025,MEDIUM,Poltern im Treppenhaus,Polternde Geräusche im Treppenhaus,"Poltern im Treppenhaus
Polternde Geräusche im Treppenhaus",Lärm
REIN-M-047,MEDIUM,Leichte Geruchsbelästigung in Technikbereich,"Geruch wahrnehmbar, vermutlich durch Schmutz; hygienisch unangenehm.","Leichte Geruchsbelästigung in Technikbereich
Geruch wahrnehmbar, vermutlich durch Schmutz; hygienisch unangenehm.",Reinigung
AUSSEN-M-037,MEDIUM,Verschobene Randsteine,Randsteine verrutscht,"Verschobene Randsteine
Randsteine verrutscht",Außenbereich
LAERM-H-032,HIGH,Extrem laute Lüftung nachts,Die Lüftung läuft nachts extrem laut,"Extrem laute Lüftung nachts
Die Lüftung läuft nachts extrem laut",Lärm
BSCH-M-027,MEDIUM,Brandschutzprüfung überfällig,Die regelmäßige Brandschutzprüfung ist überfällig.,"Brandschutzprüfung überfällig
Die regelmäßige Brandschutzprüfung ist überfällig.",Brandschutz
SM-H-039,HIGH,Schimmelgeruch und Befall im Waschküche,Starker Schimmel durch anhaltende Feuchtigkeit im Waschküche.,"Schimmelgeruch und Befall im Waschküche
Starker Schimmel durch anhaltende Feuchtigkeit im Waschküche.",Schimmel
BS-L-031,LOW,Kleine Putzstelle Wohnzimmer,"Im Wohnzimmer ist eine kleine Putzstelle sichtbar, rein optisch.","Kleine Putzstelle Wohnzimmer
Im Wohnzimmer ist eine kleine Putzstelle sichtbar, rein optisch.",Bauliche Schäden
SM-M-071,MEDIUM,Schimmel durch Kondenswasser im Flur,"Schimmel an Sockelleiste im Flur, noch nicht großflächig.","Schimmel durch Kondenswasser im Flur
Schimmel an Sockelleiste im Flur, noch nicht großflächig.",Schimmel
TF-L-039,LOW,Türblatt leichte Abnutzung,Das Türblatt zeigt leichte Abnutzung.,"Türblatt leichte Abnutzung
Das Türblatt zeigt leichte Abnutzung.",Türen/Fenster
TF-L-048,LOW,Fensterrahmen uneben,Der Fensterrahmen wirkt uneben.,"Fensterrahmen uneben
Der Fensterrahmen wirkt uneben.",Türen/Fenster
AUSSEN-M-068,MEDIUM,Beschädigte Sitzbanklatte,"Eine Latte der Bank ist beschädigt, Nutzung noch möglich.","Beschädigte Sitzbanklatte
Eine Latte der Bank ist beschädigt, Nutzung noch möglich.",Außenbereich
A-M-010,MEDIUM,Aufzug meldet Warnhinweis,Der Aufzug zeigt einen allgemeinen Warnhinweis.,"Aufzug meldet Warnhinweis
Der Aufzug zeigt einen allgemeinen Warnhinweis.",Aufzug
SW-M-041,MEDIUM,Waschmaschinenanschluss tropft leicht,Gelegentliches Tropfen.,"Waschmaschinenanschluss tropft leicht
Gelegentliches Tropfen.",Sanitär / Wasser
SON-L-019,LOW,Infotext sprachlich ungenau,Inhalt verständlich,"Infotext sprachlich ungenau
Inhalt verständlich",Sonstige
SM-L-017,LOW,Kleiner Schimmelfleck im Küche,"Kleiner Schimmelpunkt im Küche, nur oberflächlich.","Kleiner Schimmelfleck im Küche
Kleiner Schimmelpunkt im Küche, nur oberflächlich.",Schimmel
A-L-002,LOW,Aufzugknopf leicht locker,Ein Knopf im Aufzug sitzt leicht locker.,"Aufzugknopf leicht locker
Ein Knopf im Aufzug sitzt leicht locker.",Aufzug
SM-M-045,MEDIUM,Schimmel an Sockelleiste im Wohnzimmer,Schimmelbildung an einer kühlen Stelle im Wohnzimmer.,"Schimmel an Sockelleiste im Wohnzimmer
Schimmelbildung an einer kühlen Stelle im Wohnzimmer.",Schimmel
A-H-033,HIGH,Aufzug bleibt bei Fahrt hängen,Der Aufzug bleibt während der Fahrt hängen.,"Aufzug bleibt bei Fahrt hängen
Der Aufzug bleibt während der Fahrt hängen.",Aufzug
A-H-037,HIGH,Aufzug bleibt mit Einkauf stecken,Bewohner stecken mit Einkäufen im Aufzug.,"Aufzug bleibt mit Einkauf stecken
Bewohner stecken mit Einkäufen im Aufzug.",Aufzug
REIN-H-001,HIGH,Starke Verschmutzung Keller,Bereich stark verschmutzt; Fluchtweg ist beeinträchtigt.,"Starke Verschmutzung Keller
Bereich stark verschmutzt; Fluchtweg ist beeinträchtigt.",Reinigung
SM-M-031,MEDIUM,Schimmel an Sockelleiste im Hausflur,Schimmel an Fensterbereich im Hausflur festgestellt.,"Schimmel an Sockelleiste im Hausflur
Schimmel an Fensterbereich im Hausflur festgestellt.",Schimmel
A-H-021,HIGH,Aufzug reagiert verzögert,Der Aufzug reagiert stark verzögert auf Befehle.,"Aufzug reagiert verzögert
Der Aufzug reagiert stark verzögert auf Befehle.",Aufzug
H-040,HIGH,Heizung funktioniert nicht mehr,Die Heizungsanlage ist seit heute außer Betrieb.,"Heizung funktioniert nicht mehr
Die Heizungsanlage ist seit heute außer Betrieb.",Heizung / Wärmeversorgung
REIN-M-033,MEDIUM,Verschmutzte Kontaktflächen in Flur,Handläufe/Griffe/Schalter fleckig; Laub/Schmutzreste. (wiederholt gemeldet),"Verschmutzte Kontaktflächen in Flur
Handläufe/Griffe/Schalter fleckig; Laub/Schmutzreste. (wiederholt gemeldet)",Reinigung
AUSSEN-H-055,HIGH,Instabile Außentreppe,Treppe wackelt,"Instabile Außentreppe
Treppe wackelt",Außenbereich
SON-H-019,HIGH,Digitale Schließzylinder reagieren nicht,Zutritt blockiert,"Digitale Schließzylinder reagieren nicht
Zutritt blockiert",Sonstige
TF-M-052,MEDIUM,Fensterrahmen zieht Luft,Der Fensterrahmen zieht Luft.,"Fensterrahmen zieht Luft
Der Fensterrahmen zieht Luft.",Türen/Fenster
REIN-M-036,MEDIUM,Reinigungsbedarf in Aufzug,Boden/Flächen sichtbar verschmutzt; Reinigung zeitnah einplanen.,"Reinigungsbedarf in Aufzug
Boden/Flächen sichtbar verschmutzt; Reinigung zeitnah einplanen.",Reinigung
BS-H-071,HIGH,Instabile Balkonbrüstung,Die Balkonbrüstung ist instabil,"Instabile Balkonbrüstung
Die Balkonbrüstung ist instabil",Bauliche Schäden
LAERM-M-072,MEDIUM,Knistern aus Elektroverteiler,Aus dem Elektroverteiler sind knisternde Geräusche zu hören.,"Knistern aus Elektroverteiler
Aus dem Elektroverteiler sind knisternde Geräusche zu hören.",Lärm
A-L-043,LOW,Aufzugknöpfe wirken stumpf,Die Tasten wirken optisch stumpf und abgenutzt.,"Aufzugknöpfe wirken stumpf
Die Tasten wirken optisch stumpf und abgenutzt.",Aufzug
H-045,HIGH,Heizung defekt im Winter,Bei winterlichen Temperaturen keine Heizleistung.,"Heizung defekt im Winter
Bei winterlichen Temperaturen keine Heizleistung.",Heizung / Wärmeversorgung
LAERM-L-044,LOW,Leises Knarren Treppenstufe,Eine Treppenstufe knarrt leicht beim Betreten.,"Leises Knarren Treppenstufe
Eine Treppenstufe knarrt leicht beim Betreten.",Lärm
REIN-M-061,MEDIUM,Leichte Geruchsbelästigung in Gemeinschaftsraum,"Geruch wahrnehmbar, vermutlich durch Schmutz; Reinigung zeitnah einplanen.","Leichte Geruchsbelästigung in Gemeinschaftsraum
Geruch wahrnehmbar, vermutlich durch Schmutz; Reinigung zeitnah einplanen.",Reinigung
REIN-H-053,HIGH,Unrat/Abfall in Gemeinschaftsraum,Müll/Unrat liegt im Gemeinschaftsraum und verursacht Unfallgefahr.,"Unrat/Abfall in Gemeinschaftsraum
Müll/Unrat liegt im Gemeinschaftsraum und verursacht Unfallgefahr.",Reinigung
REIN-H-028,HIGH,Hygienische Verunreinigung in Gebäude,Unfallgefahr im Gebäude festgestellt; sofortige Reinigung erforderlich.,"Hygienische Verunreinigung in Gebäude
Unfallgefahr im Gebäude festgestellt; sofortige Reinigung erforderlich.",Reinigung
A-M-075,MEDIUM,Aufzug läuft im Service-Modus,Der Aufzug zeigt Service-Modus und ist nur eingeschränkt nutzbar.,"Aufzug läuft im Service-Modus
Der Aufzug zeigt Service-Modus und ist nur eingeschränkt nutzbar.",Aufzug
SON-L-001,LOW,Infotafel leicht veraltet,Aushang enthält alte Hinweise,"Infotafel leicht veraltet
Aushang enthält alte Hinweise",Sonstige
A-H-053,HIGH,Aufzug bleibt in oberem Bereich stehen,Der Aufzug bleibt in oberen Etagen stehen.,"Aufzug bleibt in oberem Bereich stehen
Der Aufzug bleibt in oberen Etagen stehen.",Aufzug
A-H-008,HIGH,Aufzug fährt unkontrolliert,Der Aufzug fährt unkontrolliert zwischen Etagen.,"Aufzug fährt unkontrolliert
Der Aufzug fährt unkontrolliert zwischen Etagen.",Aufzug
SM-H-019,HIGH,Schimmelgeruch und Befall im Treppenhaus,"Massiver Schimmel sichtbar, Ausbreitung im Treppenhaus deutlich erkennbar.","Schimmelgeruch und Befall im Treppenhaus
Massiver Schimmel sichtbar, Ausbreitung im Treppenhaus deutlich erkennbar.",Schimmel
LAERM-H-067,HIGH,Extrem laute Lüfteranlage Dach,Die Dachlüfter laufen extrem laut und sind bis in Wohnungen hörbar.,"Extrem laute Lüfteranlage Dach
Die Dachlüfter laufen extrem laut und sind bis in Wohnungen hörbar.",Lärm
E-H-050,HIGH,Stromausfall bei Aufzugssteuerung,Die Aufzugssteuerung hat keinen Strom.,"Stromausfall bei Aufzugssteuerung
Die Aufzugssteuerung hat keinen Strom.",Elektro
LAERM-L-022,LOW,Gelegentliches Knacken im Boden,Boden knackt gelegentlich,"Gelegentliches Knacken im Boden
Boden knackt gelegentlich",Lärm
REIN-H-036,HIGH,Ungeziefer durch Verschmutzung in Gebäude,Aufgrund von Abfällen wurden Glasscherben/Verletzungsgefahr im Bereich Gebäude gesichtet.,"Ungeziefer durch Verschmutzung in Gebäude
Aufgrund von Abfällen wurden Glasscherben/Verletzungsgefahr im Bereich Gebäude gesichtet.",Reinigung
A-L-024,LOW,Aufzugtürrahmen verschmutzt,Der Türrahmen ist verschmutzt.,"Aufzugtürrahmen verschmutzt
Der Türrahmen ist verschmutzt.",Aufzug
SON-H-065,HIGH,Zentrale Zugangsdaten kompromittiert,Missbrauch möglich,"Zentrale Zugangsdaten kompromittiert
Missbrauch möglich",Sonstige
H-030,HIGH,Wärmeausfall Wohnung,Die Räume sind stark ausgekühlt aufgrund fehlender Heizung.,"Wärmeausfall Wohnung
Die Räume sind stark ausgekühlt aufgrund fehlender Heizung.",Heizung / Wärmeversorgung
E-H-043,HIGH,Sicherungskasten unter Wasser,Der Sicherungskasten steht unter Wasser.,"Sicherungskasten unter Wasser
Der Sicherungskasten steht unter Wasser.",Elektro
SON-H-077,HIGH,Alarmanlage meldet Daueralarm,Betrieb gestört,"Alarmanlage meldet Daueralarm
Betrieb gestört",Sonstige
AUSSEN-H-067,HIGH,Tiefer Spalt im Gehweg,"Im Gehweg hat sich ein tiefer Spalt geöffnet, Stolpergefahr.","Tiefer Spalt im Gehweg
Im Gehweg hat sich ein tiefer Spalt geöffnet, Stolpergefahr.",Außenbereich
BS-M-007,MEDIUM,Abplatzungen an Innenwand,An einer Innenwand platzt der Putz ab,"Abplatzungen an Innenwand
An einer Innenwand platzt der Putz ab",Bauliche Schäden
E-M-066,MEDIUM,Licht im Treppenhaus unregelmäßig,Die Treppenhausbeleuchtung funktioniert unregelmäßig.,"Licht im Treppenhaus unregelmäßig
Die Treppenhausbeleuchtung funktioniert unregelmäßig.",Elektro
SM-H-026,HIGH,Schimmelgeruch und Befall im Wohnzimmer,Nach Wassereintritt hat sich starker Schimmel im Wohnzimmer gebildet.,"Schimmelgeruch und Befall im Wohnzimmer
Nach Wassereintritt hat sich starker Schimmel im Wohnzimmer gebildet.",Schimmel
LAERM-M-059,MEDIUM,Regelmäßiges Klopfen aus Heizungsrohren,"Heizungsrohre klopfen regelmäßig, besonders abends.","Regelmäßiges Klopfen aus Heizungsrohren
Heizungsrohre klopfen regelmäßig, besonders abends.",Lärm
BS-M-077,MEDIUM,Bodenplatte Keller zeigt Riss,In der Kellerbodenplatte ist ein neuer Riss sichtbar.,"Bodenplatte Keller zeigt Riss
In der Kellerbodenplatte ist ein neuer Riss sichtbar.",Bauliche Schäden
SON-H-082,HIGH,Notfallsteuerung ohne Funktion,System reagiert nicht,"Notfallsteuerung ohne Funktion
System reagiert nicht",Sonstige
E-L-026,LOW,Steckdose schwer zu reinigen,Eine Steckdose ist schlecht zugänglich zum Reinigen.,"Steckdose schwer zu reinigen
Eine Steckdose ist schlecht zugänglich zum Reinigen.",Elektro
A-H-043,HIGH,Aufzug bleibt bei Regen stehen,Der Aufzug bleibt bei feuchter Witterung stehen.,"Aufzug bleibt bei Regen stehen
Der Aufzug bleibt bei feuchter Witterung stehen.",Aufzug
SON-H-025,HIGH,Technikraum unverschlossen,Sicherheitsrisiko,"Technikraum unverschlossen
Sicherheitsrisiko",Sonstige
BS-M-011,MEDIUM,Putzschäden Kellerdecke,An der Kellerdecke gibt es Putzschäden,"Putzschäden Kellerdecke
An der Kellerdecke gibt es Putzschäden",Bauliche Schäden
SW-H-030,HIGH,Mehrere Wasserlecks gleichzeitig,In verschiedenen Räumen tritt Wasser aus.,"Mehrere Wasserlecks gleichzeitig
In verschiedenen Räumen tritt Wasser aus.",Sanitär / Wasser
