id,title,description,priority_label,impact_annotation,urgency_annotation,category
H-022,Keine Heizleistung mehr,Die Heizkörper bleiben durchgehend kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-023,Warmwasser komplett ausgefallen,Es steht im gesamten Haushalt kein Warmwasser zur Verfügung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-024,Heizungsanlage reagiert nicht,"Die Steuerung zeigt keine Fehlermeldung, aber es wird nicht geheizt.",HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-025,Störung zentrale Heizung,Die zentrale Heizungsanlage ist ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-026,Keine Wärme im Gebäude,Das gesamte Gebäude ist aktuell ohne Heizung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-027,Heizungsdefekt akut,Die Heizung ist plötzlich ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-028,Totalausfall Wärmeversorgung,Es ist keine Beheizung der Räume mehr möglich.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-029,Heizung ohne Funktion seit Stunden,Seit mehreren Stunden keine Heizleistung mehr.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-030,Wärmeausfall Wohnung,Die Räume sind stark ausgekühlt aufgrund fehlender Heizung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-031,Heizung außer Betrieb,Die Heizungsanlage hat den Betrieb eingestellt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-032,Kein Warmwasser trotz Betrieb,"Die Anlage läuft, liefert aber kein Warmwasser.",HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-033,Heizung komplett abgeschaltet,Die Heizung ist komplett ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-034,Ausfall Heizung bei Minusgraden,Bei starkem Frost ist die Heizung ohne Funktion.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-035,Heizungsstörung Wohnung,Die Wohnung kann nicht mehr beheizt werden.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-036,Heizung liefert keine Wärme,Alle Heizkörper bleiben kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-037,Keine Heizfunktion verfügbar,Die Heizungsanlage reagiert nicht mehr.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-038,Kompletter Warmwasserausfall,In allen Räumen steht nur kaltes Wasser zur Verfügung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-039,Heizungsanlage ausgefallen,Die zentrale Heizung ist defekt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-040,Heizung funktioniert nicht mehr,Die Heizungsanlage ist seit heute außer Betrieb.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-041,Wärmeversorgung unterbrochen,Es erfolgt keine Beheizung der Wohnung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-042,Heizung ohne Wirkung,Die Heizkörper bleiben trotz Betrieb kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-043,Totalausfall Heizsystem,Das Heizsystem ist vollständig ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-044,Keine Raumheizung möglich,Die Räume können aktuell nicht beheizt werden.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-045,Heizung defekt im Winter,Bei winterlichen Temperaturen keine Heizleistung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-046,Ausfall Heizungsanlage,Die Heizungsanlage ist ohne Funktion.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-047,Heizung komplett kalt,Alle Heizkörper bleiben kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-048,Keine Wärme im Haushalt,Die Wohnung wird aktuell nicht beheizt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-049,Heizung außer Betrieb seit heute,Seit heute Morgen ist die Heizung ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-050,Wärmeausfall gesamtes Objekt,Das gesamte Objekt ist ohne Heizleistung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-051,Heizungsstörung Gebäude,Die Heizungsanlage im Gebäude ist defekt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-052,Heizung nicht betriebsbereit,Die Heizungsanlage lässt sich nicht starten.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-053,Kein Warmwasser im Winter,Im Winter steht kein Warmwasser zur Verfügung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-054,Heizungsanlage ausgefallen nachts,Seit der Nacht keine Heizfunktion mehr.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-055,Heizung ohne Leistung,Die Heizkörper bleiben vollständig kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-056,Totalausfall Heizung Wohnung,Die Wohnung ist komplett unbeheizt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-057,Heizsystem außer Betrieb,Das Heizsystem reagiert nicht mehr.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-058,Wärmeversorgung defekt,Es erfolgt keine Wärmeabgabe durch die Heizung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-059,Heizung vollständig ausgefallen,Die Heizungsanlage ist komplett außer Betrieb.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-060,Heizungsproblem akut,Die Wohnung kühlt stark aus aufgrund fehlender Heizung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-061,Heizung reagiert nicht mehr,Alle Heizfunktionen sind ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-062,Kein warmes Wasser verfügbar,In der gesamten Wohnung nur kaltes Wasser.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-063,Ausfall Heizungsbetrieb,Die Heizungsanlage ist nicht mehr aktiv.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-064,Heizung ohne Heizleistung,Die Heizkörper bleiben kalt trotz Betrieb.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-065,Totalausfall Wärmeversorgung Gebäude,Das Gebäude ist komplett ohne Heizung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-066,Heizung defekt und kalt,Die Wohnung ist stark ausgekühlt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-067,Keine Heizfunktion mehr,Die Heizungsanlage ist ohne Funktion.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-068,Heizung außer Betrieb bei Frost,Bei Frost keine Heizleistung vorhanden.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-069,Wärmeausfall Haushalt,Der Haushalt ist aktuell ohne Heizung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-070,Heizungsanlage reagiert nicht mehr,Alle Heizfunktionen sind ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-071,Heizung komplett defekt,Die Heizungsanlage ist vollständig ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-072,Kein Warmwasser und keine Heizung,Es stehen weder Heizung noch Warmwasser zur Verfügung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-073,Heizungsstörung mit Kälte,Die Wohnung wird nicht mehr beheizt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-074,Ausfall Heizungsanlage Gebäude,Die zentrale Heizung ist defekt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-075,Heizung ohne Betrieb,Die Heizungsanlage ist abgeschaltet.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-076,Wärmeversorgung nicht vorhanden,Es erfolgt keine Beheizung der Räume.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-077,Heizung seit Stunden defekt,Die Heizungsanlage ist seit Stunden ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-078,Heizung komplett außer Betrieb,Alle Heizfunktionen sind ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-079,Keine Heizleistung Wohnung,Die Wohnung kann nicht beheizt werden.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-080,Heizungsanlage ohne Funktion,Die Heizungsanlage arbeitet nicht mehr.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-081,Heizung reagiert nicht auf Steuerung,Die Heizung lässt sich nicht regulieren und bleibt kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-082,Heizung ausgefallen über Nacht,Seit der Nacht keine Heizleistung mehr.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-083,Wärmeausfall trotz Betrieb,"Die Anlage zeigt Betrieb, liefert aber keine Wärme.",HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-084,Heizung komplett kalt im Winter,Die Wohnung ist stark ausgekühlt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-085,Heizungsanlage defekt im Gebäude,Das gesamte Gebäude ist ohne Heizung.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-086,Keine Wärmeversorgung mehr,Die Heizung liefert keine Wärme.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-087,Heizung außer Betrieb bei Kälte,Die Wohnung kann nicht beheizt werden.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-088,Totalausfall Heizleistung,Alle Heizkörper bleiben kalt.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-089,Heizung vollständig außer Betrieb,Die Heizungsanlage ist komplett ausgefallen.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
H-090,Kein Heizen möglich,Die Wohnung ist aktuell ohne Heizfunktion.,HIGH,hoch,hoch,Heizung / Wärmeversorgung
HM-001,Heizkörper wird nur lauwarm,Der Heizkörper erreicht auch bei hoher Einstellung nur eine geringe Temperatur.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-002,Wohnung wird ungleichmäßig warm,Einige Räume bleiben deutlich kühler als andere.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-003,Heizung braucht sehr lange zum Aufwärmen,Die Heizkörper benötigen ungewöhnlich viel Zeit bis sie warm werden.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-004,Warmwasser zeitweise kalt,Zwischendurch kommt nur kaltes Wasser bevor es warm wird.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-005,Heizleistung schwankt,Die Heizkörper werden nicht konstant warm.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-006,Heizung reagiert verzögert,Änderungen am Thermostat zeigen erst spät Wirkung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-007,Warmwasser nur lauwarm,Das Warmwasser erreicht keine ausreichende Temperatur.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-008,Einzelner Heizkörper kalt,Ein Heizkörper bleibt kalt während andere funktionieren.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-009,Heizung arbeitet unregelmäßig,Die Heizungsanlage schaltet sich sporadisch ein und aus.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-010,Heizung macht Geräusche,Die Heizkörper verursachen ungewöhnliche Klopf- und Strömungsgeräusche.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-011,Wohnung nicht ausreichend beheizt,Trotz laufender Heizung bleibt die Wohnung kühl.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-012,Heizkörper werden nur teilweise warm,Die oberen Bereiche bleiben kalt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-013,Schwankende Warmwassertemperatur,Die Temperatur ändert sich stark während der Nutzung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-014,Heizung reagiert träge,Temperaturänderungen erfolgen nur langsam.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-015,Heizleistung reduziert,Die Heizung liefert weniger Wärme als üblich.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-016,Warmwasser reicht nicht aus,Nach kurzer Nutzung wird das Wasser kalt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-017,Heizkörper gluckert,Beim Betrieb sind deutliche Luftgeräusche hörbar.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-018,Ein Raum bleibt dauerhaft kühl,Ein Zimmer wird nicht ausreichend beheizt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-019,Heizung startet verspätet,Die Heizungsanlage springt verzögert an.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-020,Temperatur nicht regelbar,Thermostate zeigen keine klare Wirkung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-021,Warmwasser schwankt stark,Die Wassertemperatur ist unzuverlässig.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-022,Heizkörper unten kalt,Der untere Bereich des Heizkörpers bleibt kalt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-023,Heizung läuft dauerhaft,Die Heizungsanlage schaltet nicht korrekt ab.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-024,Heizung ineffizient,Der Energieverbrauch scheint erhöht bei geringer Heizleistung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-025,Wohnung wird nur mäßig warm,Die Temperatur erreicht nicht das gewünschte Niveau.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-026,Warmwasser verzögert verfügbar,Es dauert lange bis warmes Wasser ankommt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-027,Heizung ungleichmäßig im Gebäude,Unterschiedliche Wohnungen haben unterschiedliche Heizleistung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-028,Heizleistung zeitweise reduziert,Zwischendurch fällt die Heizleistung ab.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-029,Heizung reagiert unzuverlässig,Die Heizungssteuerung arbeitet nicht konstant.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-030,Heizkörper bleiben teils kalt,Nicht alle Heizkörper werden warm.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-031,Warmwasser nur zeitweise heiß,Die Temperatur fällt nach kurzer Zeit ab.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-032,Heizung läuft ungewöhnlich lange,Die Anlage arbeitet länger als normal.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-033,Temperaturregelung unpräzise,Eingestellte Temperaturen werden nicht eingehalten.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-034,Heizkörper pfeifen,Beim Betrieb entstehen Pfeifgeräusche.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-035,Heizung schwankt im Tagesverlauf,Die Heizleistung ändert sich über den Tag.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-036,Warmwasserleistung reduziert,Die verfügbare Warmwassermenge ist geringer.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-037,Heizung nicht konstant warm,Temperaturen schwanken spürbar.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-038,Heizkörper funktionieren verzögert,Nach dem Einschalten dauert es lange bis Wärme entsteht.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-039,Wohnung bleibt kühl,Die gewünschte Raumtemperatur wird nicht erreicht.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-040,Heizung arbeitet ungleichmäßig,Einzelne Heizphasen sind schwach.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-041,Warmwasser nicht konstant heiß,Die Temperatur schwankt während der Nutzung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-042,Heizkörper nur teilweise warm,Einige Bereiche bleiben kalt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-043,Heizung braucht lange Anlaufzeit,Die Anlage startet verzögert.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-044,Heizleistung reduziert im Gebäude,Mehrere Wohnungen melden geringere Heizleistung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-045,Warmwasserleistung schwach,Das Wasser wird nicht ausreichend heiß.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-046,Heizung unzuverlässig,Die Heizleistung ist nicht konstant verfügbar.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-047,Heizkörper werden nur handwarm,Die Temperatur reicht nicht zum Beheizen.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-048,Heizung regelt schlecht,Die Anlage passt sich nicht korrekt an.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-049,Warmwasser schwankt,Die Temperatur ändert sich unregelmäßig.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-050,Heizung ineffektiv,Die Heizleistung ist spürbar reduziert.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-051,Ein Heizkörper ohne volle Leistung,Ein Heizkörper wird nur teilweise warm.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-052,Heizung reagiert verzögert auf Thermostat,Temperaturänderungen zeigen verspätete Wirkung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-053,Warmwasser nicht stabil,Die Temperatur variiert während der Nutzung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-054,Heizung läuft unregelmäßig,Die Anlage schaltet nicht gleichmäßig.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-055,Heizleistung schwach,Trotz Betrieb ist die Heizleistung gering.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-056,Heizkörper nur mäßig warm,Die Heizkörper erreichen keine hohe Temperatur.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-057,Heizung arbeitet ineffizient,Hoher Verbrauch bei geringer Wärmeleistung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-058,Warmwasser nur zeitweise verfügbar,Zwischendurch kommt kaltes Wasser.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-059,Heizung schwankt,Die Heizleistung ist nicht konstant.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-060,Heizkörper unterschiedlich warm,Einige Heizkörper werden wärmer als andere.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-061,Warmwasserleistung unzureichend,Die Temperatur reicht nicht aus.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-062,Heizung reagiert nicht präzise,Temperaturregelung ist ungenau.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-063,Heizung arbeitet verzögert,Die Wärmeabgabe erfolgt verspätet.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-064,Heizleistung schwankt stark,Deutliche Unterschiede in der Heizleistung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-065,Warmwasser nicht konstant warm,Temperaturschwankungen beim Duschen.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-066,Heizung ineffizient eingestellt,Die Anlage arbeitet nicht optimal.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-067,Heizkörper werden langsam warm,Die Erwärmung dauert ungewöhnlich lange.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-068,Heizung nicht gleichmäßig,Einige Räume bleiben kühler.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-069,Warmwasserleistung schwankend,Temperatur wechselt während Nutzung.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-070,Heizung arbeitet instabil,Die Heizleistung ist unzuverlässig.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-071,Heizkörper nicht vollständig warm,Einige Bereiche bleiben kalt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-072,Warmwasser nur mäßig heiß,Die Temperatur ist niedriger als gewohnt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-073,Heizung schwach eingestellt,Die Wärmeleistung ist reduziert.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-074,Heizung reagiert ungleichmäßig,Die Anlage arbeitet nicht konstant.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-075,Warmwasser nicht ausreichend heiß,Die Temperatur reicht nicht aus.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-076,Heizung liefert zu wenig Wärme,Die Wohnung bleibt kühl.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-077,Heizkörper unterschiedlich temperiert,Einige Heizkörper bleiben kühler.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-078,Warmwasserleistung reduziert,Die verfügbare Warmwassermenge ist gering.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-079,Heizung arbeitet nicht konstant,Die Heizleistung schwankt.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HM-080,Heizung nicht optimal,Die Heizleistung entspricht nicht dem Soll.,MEDIUM,mittel,mittel,Heizung / Wärmeversorgung
HL-001,Heizkörper wird oben leicht warm,"Der Heizkörper wird oben leicht warm, heizt aber insgesamt noch ausreichend.",LOW,gering,gering,Heizung / Wärmeversorgung
HL-002,Leichtes Gluckern im Heizkörper,Im Heizkörper sind gelegentlich leise Geräusche hörbar.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-003,Heizung reagiert etwas träge,Temperaturänderungen dauern etwas länger als gewohnt.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-004,Heizkörper ungleichmäßig warm,"Der Heizkörper ist nicht überall gleich warm, Funktion aber gegeben.",LOW,gering,gering,Heizung / Wärmeversorgung
HL-005,Warmwasser leicht verzögert,Es dauert etwas länger bis warmes Wasser kommt.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-006,Leichte Temperaturschwankung Warmwasser,Die Wassertemperatur schwankt minimal.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-007,Heizkörper knackt gelegentlich,Beim Aufheizen sind leichte Knackgeräusche hörbar.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-008,Heizung läuft etwas länger,Die Heizungsanlage läuft geringfügig länger als üblich.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-009,Heizleistung minimal reduziert,Die Heizleistung ist leicht geringer als gewohnt.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-010,Warmwasser leicht lauwarm,Das Warmwasser könnte etwas heißer sein.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-011,Heizung macht leise Geräusche,Leise Betriebsgeräusche aus dem Heizsystem.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-012,Heizkörper wird langsam warm,Die Erwärmung dauert etwas länger.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-013,Heizung reagiert verzögert auf Einstellung,Änderungen werden mit leichter Verzögerung umgesetzt.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-014,Heizkörper unten etwas kühler,Der untere Bereich ist leicht kühler.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-015,Temperatur leicht schwankend,Kleine Schwankungen der Raumtemperatur.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-016,Warmwasser nicht sofort heiß,Das Wasser benötigt kurze Zeit zum Aufheizen.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-017,Heizung wirkt ineffizient eingestellt,Die Heizleistung könnte optimiert werden.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-018,Heizkörper wird nicht gleichmäßig warm,Einzelne Stellen bleiben kühler.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-019,Heizung leicht unregelmäßig,Die Heizleistung schwankt minimal.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-020,Warmwasser minimal kühler,Die Temperatur ist leicht unter dem Normalwert.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-021,Leises Pfeifen im Heizkörper,Beim Betrieb ist ein leichtes Pfeifen hörbar.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-022,Heizung reagiert nicht sofort,Die Anlage benötigt kurze Zeit zur Anpassung.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-023,Heizkörper handwarm,Der Heizkörper erreicht nur eine mittlere Temperatur.,LOW,gering,gering,Heizung / Wärmeversorgung
HL-024,Warmwasser leicht verzögert verfügbar,Das Warmwasser kommt nach kurzer Wartezeit.,LOW,gering,gering,Heizung / Wärmeversorgung
